Zone,State,Scheme,Month,Visited Accounts,Allocated Accounts,Visit %,Outstanding Amount (Cr),Principal Outstanding (Cr),EMI Amount (Cr),Resolved Accounts
MMZO Zone,Jharkhand,LADEP,2023-11,119,368,32.34,52.34,42.06,0.84,46
Pune Zone,Odisha,TL009,2023-06,369,547,67.46,76.95,75.3,1.51,342
West,Unknown,CCMUD,2023-05,492,906,54.3,35.35,31.83,0.64,126
South,Unknown,LADEP,2023-03,136,382,35.6,88.86,57.76,1.16,122
Central,Bihar,CHOME,2023-11,355,541,65.62,2.78,2.01,0.04,267
East,Punjab,TL009,2023-09,3,293,1.02,43.75,39.7,0.79,2
Pune Zone,West Bengal,CHOME,2023-09,386,647,59.66,74.75,70.76,1.42,185
Hyderabad,Unknown,ODGEN,2023-06,466,872,53.44,57.55,53.89,1.08,256
Pune Zone,Delhi,UMGLP,2023-01,326,652,50.0,80.03,70.05,1.4,238
West,Jharkhand,TLP12,2023-03,470,870,54.02,66.17,65.21,1.3,28
MMZO Zone,Haryana,TL009,2023-08,145,148,97.97,91.52,55.94,1.12,6
Pune Zone,Punjab,CCMUD,2023-11,243,524,46.37,81.05,73.13,1.46,210
East,Haryana,VL001,2023-02,281,466,60.3,88.21,55.12,1.1,149
Hyderabad,Rajasthan,CCGEN,2023-02,115,273,42.12,12.47,9.46,0.19,103
North,Odisha,VL001,2023-06,1,406,0.25,23.76,13.2,0.26,1
MMZO Zone,Jharkhand,CHOME,2023-09,494,902,54.77,55.67,47.2,0.94,48
East,Haryana,VL001,2023-01,76,297,25.59,78.75,67.36,1.35,36
MMZO Zone,West Bengal,UMGLP,2023-02,79,468,16.88,41.99,38.69,0.77,19
Hyderabad,Rajasthan,UKKGL,2023-10,438,562,77.94,8.29,6.1,0.12,174
Pune Zone,Bihar,CCSUV,2023-06,33,448,7.37,89.01,57.63,1.15,21
North,Haryana,TLU03,2023-09,373,645,57.83,95.06,47.67,0.95,51
MMZO Zone,Punjab,CCMUD,2023-03,214,316,67.72,80.9,54.34,1.09,26
Central,Punjab,CCGEN,2023-02,160,530,30.19,76.02,49.15,0.98,1
South,Jharkhand,CCSUV,2023-03,254,442,57.47,16.33,15.74,0.31,110
Central,Unknown,CCMUD,2023-10,140,444,31.53,99.38,91.6,1.83,67
MMZO Zone,Odisha,TLU03,2023-02,24,298,8.05,36.48,24.37,0.49,21
Hyderabad,Odisha,VL001,2023-06,488,745,65.5,84.27,45.65,0.91,302
South,Unknown,TL009,2023-02,419,613,68.35,73.11,48.74,0.97,37
West,Odisha,TLU03,2023-05,420,851,49.35,80.49,69.15,1.38,218
South,Jharkhand,TLP12,2023-09,350,443,79.01,97.38,56.72,1.13,190
Pune Zone,Punjab,UKKGL,2023-07,459,818,56.11,30.59,23.89,0.48,404
MMZO Zone,Unknown,UMGLP,2023-12,307,478,64.23,42.96,38.72,0.77,300
Pune Zone,Punjab,LADEP,2023-04,423,811,52.16,3.0,2.19,0.04,359
Pune Zone,Delhi,CCGEN,2023-10,296,552,53.62,88.43,57.18,1.14,288
North,Bihar,ODGEN,2023-07,333,554,60.11,92.01,85.3,1.71,179
Pune Zone,Jharkhand,VL001,2023-11,133,435,30.57,60.98,39.36,0.79,10
Pune Zone,Punjab,CCGEN,2023-03,368,703,52.35,22.3,17.55,0.35,148
East,Bihar,TLP12,2023-10,156,648,24.07,40.17,39.01,0.78,117
West,West Bengal,TLP12,2023-12,218,497,43.86,57.07,31.5,0.63,177
Pune Zone,Punjab,UMGLP,2023-06,459,867,52.94,3.05,1.95,0.04,178
South,Odisha,CCMUD,2023-04,263,474,55.49,56.07,44.23,0.88,42
North,Jharkhand,CCMUD,2023-09,384,784,48.98,84.66,53.2,1.06,321
South,West Bengal,TL009,2023-11,98,99,98.99,38.61,36.12,0.72,96
South,West Bengal,CHOME,2023-07,301,346,86.99,12.61,10.02,0.2,52
West,Haryana,CCMUD,2023-06,309,615,50.24,77.73,72.24,1.44,166
South,Unknown,CHOME,2023-02,482,880,54.77,88.44,84.23,1.68,340
North,West Bengal,TL009,2023-03,193,267,72.28,3.86,3.19,0.06,142
Central,Rajasthan,VL001,2023-04,69,366,18.85,83.83,75.19,1.5,56
Pune Zone,Punjab,UMGLP,2023-02,397,865,45.9,84.18,68.83,1.38,210
Hyderabad,Punjab,CCSUV,2023-04,244,448,54.46,69.09,68.26,1.37,65
West,Haryana,CCGEN,2023-02,160,653,24.5,77.17,65.72,1.31,68
North,Bihar,VL001,2023-01,46,278,16.55,12.42,8.47,0.17,46
MMZO Zone,Odisha,CHOME,2023-02,375,550,68.18,94.27,54.88,1.1,256
South,Haryana,ODGEN,2023-03,87,372,23.39,13.6,11.54,0.23,53
MMZO Zone,Rajasthan,CHOME,2023-11,262,291,90.03,89.64,69.25,1.39,15
West,Punjab,CHOME,2023-12,495,623,79.45,10.02,9.48,0.19,165
MMZO Zone,Rajasthan,CCSUV,2023-08,281,293,95.9,44.96,32.52,0.65,82
South,Odisha,CHOME,2023-04,20,461,4.34,29.0,24.1,0.48,11
South,Punjab,CCSUV,2023-02,96,276,34.78,23.17,21.94,0.44,18
East,Odisha,TLP12,2023-09,81,491,16.5,55.5,48.81,0.98,79
South,Rajasthan,TL009,2023-04,160,349,45.85,8.4,4.53,0.09,98
Hyderabad,Unknown,UMGLP,2023-03,225,232,96.98,28.46,22.82,0.46,220
Central,Bihar,LADEP,2023-06,202,622,32.48,59.38,42.6,0.85,7
MMZO Zone,Delhi,TL009,2023-09,206,343,60.06,75.19,73.2,1.46,196
South,Punjab,UKKGL,2023-03,228,435,52.41,96.0,58.12,1.16,43
Central,Punjab,CCSUV,2023-04,124,511,24.27,58.97,41.96,0.84,91
North,Jharkhand,UMGLP,2023-09,189,324,58.33,37.4,33.49,0.67,7
Pune Zone,Rajasthan,CCMUD,2023-01,445,571,77.93,33.79,18.72,0.37,413
Hyderabad,Punjab,CHOME,2023-02,92,302,30.46,23.63,13.58,0.27,43
West,Bihar,VL001,2023-08,492,518,94.98,64.95,62.78,1.26,315
Hyderabad,Haryana,ODGEN,2023-03,57,539,10.58,89.97,81.47,1.63,41
Central,Bihar,LADEP,2023-12,15,509,2.95,44.23,28.27,0.57,11
Hyderabad,West Bengal,UKKGL,2023-03,292,730,40.0,27.36,18.23,0.36,240
East,Unknown,TLU03,2023-05,209,548,38.14,89.79,86.47,1.73,182
West,Jharkhand,CCSUV,2023-03,313,496,63.1,29.07,28.99,0.58,77
East,Jharkhand,LADEP,2023-11,198,677,29.25,19.43,12.61,0.25,195
Hyderabad,Rajasthan,CCSUV,2023-01,446,881,50.62,29.02,17.49,0.35,257
Central,Delhi,CCSUV,2023-12,286,780,36.67,95.0,94.8,1.9,275
East,Jharkhand,TL009,2023-01,70,485,14.43,67.28,50.96,1.02,29
East,Punjab,CHOME,2023-10,170,244,69.67,4.03,2.22,0.04,153
MMZO Zone,Odisha,LADEP,2023-12,302,748,40.37,31.99,18.77,0.38,172
West,Odisha,VL001,2023-09,391,834,46.88,67.06,61.14,1.22,266
North,Unknown,UKKGL,2023-02,302,784,38.52,93.67,61.22,1.22,106
Central,Jharkhand,CHOME,2023-09,25,169,14.79,76.62,41.23,0.82,14
Pune Zone,Delhi,CCMUD,2023-03,314,532,59.02,47.93,39.27,0.79,180
West,Delhi,UKKGL,2023-06,370,472,78.39,72.72,52.9,1.06,8
Central,Haryana,UMGLP,2023-02,474,519,91.33,86.18,44.96,0.9,286
North,Punjab,CHOME,2023-01,218,651,33.49,43.33,37.9,0.76,82
East,Rajasthan,UMGLP,2023-02,351,809,43.39,77.93,59.43,1.19,238
West,Odisha,UMGLP,2023-05,308,651,47.31,28.24,27.93,0.56,16
Hyderabad,Punjab,LADEP,2023-03,147,583,25.21,63.37,61.91,1.24,91
West,Jharkhand,TLP12,2023-07,371,530,70.0,23.15,17.73,0.35,134
Hyderabad,West Bengal,UMGLP,2023-11,84,189,44.44,34.47,33.66,0.67,39
Pune Zone,Haryana,ODGEN,2023-08,268,368,72.83,97.67,70.45,1.41,194
North,West Bengal,UMGLP,2023-01,56,280,20.0,38.85,38.68,0.77,49
North,Delhi,TL009,2023-02,330,818,40.34,64.46,53.68,1.07,140
North,Delhi,LADEP,2023-02,411,791,51.96,10.24,7.19,0.14,208
East,Odisha,UKKGL,2023-09,210,332,63.25,39.83,23.18,0.46,86
East,Bihar,CCMUD,2023-04,220,542,40.59,23.8,20.8,0.42,106
North,Haryana,CCMUD,2023-09,149,615,24.23,92.56,81.8,1.64,21
Hyderabad,West Bengal,CCSUV,2023-09,15,160,9.38,56.78,29.88,0.6,2
Hyderabad,Jharkhand,LADEP,2023-02,59,481,12.27,78.81,50.57,1.01,44
Pune Zone,Punjab,LADEP,2023-12,35,154,22.73,60.83,31.46,0.63,7
West,West Bengal,VL001,2023-11,56,61,91.8,40.13,23.42,0.47,2
Central,Jharkhand,CHOME,2023-07,299,649,46.07,89.35,62.19,1.24,45
East,Jharkhand,UMGLP,2023-09,206,517,39.85,4.23,3.02,0.06,23
Central,West Bengal,CCSUV,2023-12,323,642,50.31,46.56,46.2,0.92,6
MMZO Zone,Bihar,VL001,2023-11,0,77,0.0,88.86,48.99,0.98,0
North,Punjab,VL001,2023-10,485,643,75.43,55.73,41.25,0.83,288
MMZO Zone,Jharkhand,TL009,2023-06,194,414,46.86,31.02,19.19,0.38,155
Pune Zone,Delhi,LADEP,2023-01,227,403,56.33,68.44,51.9,1.04,79
West,Delhi,ODGEN,2023-03,48,294,16.33,26.4,18.45,0.37,15
MMZO Zone,Rajasthan,CHOME,2023-09,146,242,60.33,35.83,28.33,0.57,111
South,Jharkhand,TL009,2023-12,279,318,87.74,23.55,13.56,0.27,154
West,Punjab,CCGEN,2023-03,496,510,97.25,19.74,10.45,0.21,468
East,West Bengal,TL009,2023-02,180,207,86.96,61.28,39.82,0.8,34
East,Jharkhand,ODGEN,2023-04,400,455,87.91,57.98,29.39,0.59,87
Hyderabad,Delhi,CCSUV,2023-11,191,420,45.48,64.85,52.01,1.04,143
Central,West Bengal,CCGEN,2023-05,485,856,56.66,64.38,58.0,1.16,77
West,Delhi,TLP12,2023-01,193,534,36.14,13.93,7.8,0.16,25
Central,Odisha,TLP12,2023-12,196,241,81.33,6.01,4.76,0.1,89
East,Odisha,UKKGL,2023-12,47,480,9.79,24.58,13.97,0.28,42
South,Punjab,TL009,2023-01,242,516,46.9,5.13,4.11,0.08,26
Central,Punjab,UMGLP,2023-03,497,497,100.0,95.02,48.43,0.97,401
Hyderabad,Bihar,LADEP,2023-09,16,340,4.71,85.44,47.45,0.95,0
East,Odisha,TLU03,2023-12,318,517,61.51,59.76,52.64,1.05,253
West,Jharkhand,TLP12,2023-01,125,606,20.63,4.84,4.48,0.09,2
Hyderabad,Unknown,CCSUV,2023-03,53,432,12.27,26.4,18.12,0.36,42
Hyderabad,Punjab,CCMUD,2023-02,451,457,98.69,4.65,2.41,0.05,114
South,Punjab,UKKGL,2023-12,486,692,70.23,6.65,5.53,0.11,457
Pune Zone,Delhi,CCGEN,2023-12,305,537,56.8,84.97,83.51,1.67,160
MMZO Zone,Jharkhand,LADEP,2023-09,165,576,28.65,28.47,14.58,0.29,159
South,Odisha,CCMUD,2023-11,353,726,48.62,86.59,74.57,1.49,81
Hyderabad,Jharkhand,TLU03,2023-03,146,292,50.0,99.24,70.52,1.41,111
MMZO Zone,Unknown,LADEP,2023-06,386,858,44.99,11.32,8.48,0.17,340
Pune Zone,West Bengal,CCMUD,2023-05,473,776,60.95,23.66,16.15,0.32,36
North,Bihar,LADEP,2023-01,5,333,1.5,13.63,8.74,0.17,4
Central,Punjab,TL009,2023-02,105,547,19.2,6.49,5.36,0.11,30
Pune Zone,Jharkhand,CCMUD,2023-12,76,122,62.3,93.2,58.63,1.17,62
South,Punjab,TL009,2023-06,255,552,46.2,4.99,3.66,0.07,147
West,Haryana,TLP12,2023-06,383,572,66.96,15.04,13.78,0.28,52
Pune Zone,Punjab,TLU03,2023-10,54,408,13.24,12.29,10.88,0.22,24
North,Delhi,LADEP,2023-04,348,845,41.18,76.83,64.9,1.3,243
Pune Zone,Jharkhand,CCGEN,2023-12,233,261,89.27,8.08,4.84,0.1,33
East,Haryana,UKKGL,2023-08,236,288,81.94,73.28,53.76,1.08,3
MMZO Zone,West Bengal,CCMUD,2023-02,172,632,27.22,29.4,17.82,0.36,16
Pune Zone,Haryana,UKKGL,2023-01,298,561,53.12,78.39,50.01,1.0,91
West,Bihar,TLU03,2023-10,280,282,99.29,21.4,18.85,0.38,142
South,Haryana,TLU03,2023-07,277,682,40.62,40.49,20.84,0.42,157
Hyderabad,Delhi,LADEP,2023-06,98,245,40.0,29.17,17.75,0.35,25
North,Delhi,CCSUV,2023-02,271,456,59.43,87.5,69.53,1.39,191
Pune Zone,Punjab,LADEP,2023-12,364,689,52.83,36.98,21.03,0.42,352
Central,Odisha,TLP12,2023-11,251,385,65.19,7.0,4.29,0.09,87
Central,Punjab,UMGLP,2023-06,215,268,80.22,51.4,40.82,0.82,100
MMZO Zone,Delhi,CCMUD,2023-08,71,276,25.72,38.87,22.97,0.46,6
Central,Punjab,TL009,2023-09,393,698,56.3,24.33,17.15,0.34,328
Pune Zone,Haryana,VL001,2023-10,317,339,93.51,22.23,15.77,0.32,90
MMZO Zone,West Bengal,CCSUV,2023-03,215,475,45.26,48.25,28.89,0.58,6
MMZO Zone,West Bengal,VL001,2023-07,82,216,37.96,56.37,48.37,0.97,61
Central,Haryana,LADEP,2023-02,255,467,54.6,16.9,13.26,0.27,152
South,Punjab,CCSUV,2023-03,35,358,9.78,59.2,48.59,0.97,22
Hyderabad,Delhi,ODGEN,2023-07,342,494,69.23,44.34,38.63,0.77,232
East,Haryana,CCGEN,2023-05,37,322,11.49,9.56,6.44,0.13,1
Pune Zone,Odisha,CHOME,2023-07,208,687,30.28,72.85,63.92,1.28,149
MMZO Zone,West Bengal,TLP12,2023-04,436,504,86.51,59.2,56.94,1.14,305
Hyderabad,Haryana,TLU03,2023-02,469,506,92.69,7.24,6.57,0.13,230
Pune Zone,Delhi,CCGEN,2023-05,375,645,58.14,87.34,49.45,0.99,123
Hyderabad,Bihar,TL009,2023-06,202,428,47.2,12.22,11.84,0.24,85
East,West Bengal,CCMUD,2023-11,237,571,41.51,61.06,40.62,0.81,191
North,Jharkhand,CCMUD,2023-09,418,861,48.55,82.11,64.42,1.29,64
East,Jharkhand,CCMUD,2023-09,72,467,15.42,75.05,72.95,1.46,42
East,Delhi,VL001,2023-10,369,528,69.89,80.53,42.76,0.86,141
East,Odisha,CCSUV,2023-07,244,441,55.33,41.56,21.37,0.43,165
Pune Zone,Rajasthan,CCMUD,2023-02,277,597,46.4,49.51,28.68,0.57,213
East,Delhi,CCGEN,2023-11,167,641,26.05,60.12,41.13,0.82,39
East,Haryana,CCGEN,2023-06,474,937,50.59,17.44,12.71,0.25,233
East,Punjab,UKKGL,2023-04,430,827,52.0,58.36,39.44,0.79,405
Pune Zone,Rajasthan,TL009,2023-02,366,425,86.12,10.02,6.84,0.14,49
North,Punjab,CCMUD,2023-02,458,529,86.58,20.11,19.56,0.39,287
Hyderabad,Odisha,CCMUD,2023-02,24,306,7.84,71.81,70.29,1.41,23
North,West Bengal,VL001,2023-06,115,135,85.19,27.77,24.26,0.49,15
MMZO Zone,Unknown,TLU03,2023-03,243,419,58.0,88.1,81.04,1.62,209
South,Odisha,UMGLP,2023-01,63,428,14.72,2.55,2.29,0.05,9
MMZO Zone,Jharkhand,ODGEN,2023-04,299,381,78.48,99.69,70.17,1.4,196
North,Odisha,CCSUV,2023-06,465,791,58.79,56.53,35.69,0.71,337
Pune Zone,Delhi,VL001,2023-06,469,857,54.73,20.27,18.0,0.36,260
East,Bihar,CHOME,2023-07,394,477,82.6,46.58,26.79,0.54,277
MMZO Zone,Delhi,TLU03,2023-07,299,751,39.81,48.58,33.48,0.67,153
South,Jharkhand,VL001,2023-08,122,288,42.36,62.27,48.33,0.97,112
Central,Rajasthan,CCMUD,2023-04,158,324,48.77,81.58,48.79,0.98,76
Hyderabad,Punjab,CHOME,2023-03,192,309,62.14,64.37,43.23,0.86,96
Pune Zone,Haryana,VL001,2023-03,82,321,25.55,4.01,3.7,0.07,47
North,Delhi,UKKGL,2023-12,428,721,59.36,76.49,39.0,0.78,87
Pune Zone,Delhi,TL009,2023-10,95,289,32.87,1.5,1.45,0.03,87
Pune Zone,Unknown,TL009,2023-07,388,544,71.32,54.42,46.26,0.93,225
North,West Bengal,TLU03,2023-03,161,576,27.95,69.18,59.37,1.19,7
Hyderabad,Haryana,TL009,2023-06,115,536,21.46,53.77,51.6,1.03,73
West,Delhi,CCMUD,2023-03,257,354,72.6,98.05,75.2,1.5,41
Central,Rajasthan,CCSUV,2023-01,444,917,48.42,55.68,46.87,0.94,224
Central,Rajasthan,CHOME,2023-04,139,447,31.1,94.25,78.46,1.57,26
Hyderabad,Unknown,UMGLP,2023-07,91,482,18.88,98.47,63.29,1.27,81
North,West Bengal,VL001,2023-03,441,498,88.55,4.28,3.55,0.07,271
MMZO Zone,Punjab,LADEP,2023-12,496,927,53.51,87.44,83.59,1.67,431
North,Haryana,CCGEN,2023-06,251,624,40.22,87.15,66.25,1.32,165
West,Bihar,ODGEN,2023-03,389,876,44.41,88.05,77.55,1.55,284
Central,Unknown,CCMUD,2023-12,367,558,65.77,45.63,45.33,0.91,147
West,Jharkhand,UMGLP,2023-03,253,733,34.52,39.67,27.75,0.56,24
West,Bihar,UMGLP,2023-04,2,317,0.63,22.21,15.11,0.3,2
Central,Jharkhand,ODGEN,2023-11,368,539,68.27,91.4,82.99,1.66,66
South,Bihar,CCGEN,2023-06,3,427,0.7,31.81,23.51,0.47,0
West,Bihar,UKKGL,2023-09,456,917,49.73,23.23,13.25,0.27,349
Hyderabad,Punjab,TLU03,2023-07,269,402,66.92,70.19,65.17,1.3,219
Pune Zone,Unknown,TL009,2023-03,484,592,81.76,37.28,23.79,0.48,347
North,Unknown,UKKGL,2023-08,302,316,95.57,76.19,56.85,1.14,93
Pune Zone,Haryana,VL001,2023-09,53,80,66.25,4.7,2.38,0.05,4
East,Jharkhand,CHOME,2023-02,338,414,81.64,82.6,57.19,1.14,46
Central,Odisha,TL009,2023-12,424,474,89.45,39.82,34.39,0.69,44
East,Unknown,LADEP,2023-06,393,788,49.87,41.65,30.8,0.62,286
MMZO Zone,Delhi,CCMUD,2023-01,177,349,50.72,37.23,34.79,0.7,156
West,Delhi,CCMUD,2023-05,102,281,36.3,81.07,52.98,1.06,54
South,Haryana,UKKGL,2023-07,380,773,49.16,17.55,17.49,0.35,133
North,Haryana,TLU03,2023-01,77,463,16.63,81.71,54.64,1.09,76
North,Haryana,VL001,2023-03,295,651,45.31,85.82,65.33,1.31,285
North,Punjab,ODGEN,2023-11,44,292,15.07,52.72,38.13,0.76,27
West,West Bengal,CCGEN,2023-12,89,217,41.01,62.08,57.22,1.14,74
North,Haryana,UMGLP,2023-11,394,640,61.56,6.42,4.73,0.09,29
West,Delhi,CCGEN,2023-06,102,104,98.08,5.63,3.76,0.08,38
Hyderabad,Punjab,VL001,2023-06,469,943,49.73,50.24,43.09,0.86,327
East,Bihar,UMGLP,2023-11,485,781,62.1,38.49,31.54,0.63,438
Hyderabad,Delhi,CHOME,2023-04,35,528,6.63,74.82,55.18,1.1,8
South,Rajasthan,CCGEN,2023-03,181,291,62.2,17.72,10.72,0.21,5
North,West Bengal,TLU03,2023-11,179,437,40.96,40.91,34.06,0.68,41
West,West Bengal,UKKGL,2023-01,368,708,51.98,1.5,1.1,0.02,79
West,Rajasthan,TL009,2023-04,400,408,98.04,8.1,5.75,0.12,186
North,Delhi,UMGLP,2023-12,454,634,71.61,39.66,34.7,0.69,67
Hyderabad,Bihar,CHOME,2023-11,339,581,58.35,86.7,60.91,1.22,250
Central,Odisha,TLP12,2023-01,247,689,35.85,73.29,62.72,1.25,130
Hyderabad,Odisha,UMGLP,2023-10,462,661,69.89,67.5,66.07,1.32,256
MMZO Zone,Odisha,CHOME,2023-12,254,711,35.72,27.92,24.17,0.48,200
Central,Haryana,TL009,2023-09,487,904,53.87,76.92,56.51,1.13,71
North,Odisha,CCGEN,2023-09,330,698,47.28,28.56,21.06,0.42,233
West,Haryana,ODGEN,2023-05,355,535,66.36,76.86,59.83,1.2,9
North,Jharkhand,TL009,2023-05,365,621,58.78,76.46,46.55,0.93,197
Central,Jharkhand,CCMUD,2023-09,379,657,57.69,67.32,50.49,1.01,136
Pune Zone,Odisha,TL009,2023-04,95,179,53.07,94.41,69.06,1.38,20
South,Odisha,LADEP,2023-07,442,747,59.17,47.55,41.07,0.82,321
West,Punjab,TLP12,2023-08,247,412,59.95,19.92,15.74,0.31,0
North,Odisha,LADEP,2023-04,482,539,89.42,17.61,13.79,0.28,380
Hyderabad,Unknown,TL009,2023-08,488,529,92.25,29.32,27.36,0.55,92
Pune Zone,Jharkhand,CCGEN,2023-04,34,316,10.76,65.44,33.58,0.67,13
MMZO Zone,Unknown,VL001,2023-08,463,660,70.15,56.71,36.36,0.73,323
MMZO Zone,Rajasthan,VL001,2023-07,461,616,74.84,52.64,49.61,0.99,27
West,Punjab,TLU03,2023-08,307,409,75.06,89.25,57.44,1.15,83
Hyderabad,Bihar,LADEP,2023-01,419,801,52.31,58.2,50.44,1.01,197
South,Bihar,UKKGL,2023-01,274,527,51.99,56.57,56.06,1.12,256
North,Jharkhand,TL009,2023-01,363,704,51.56,75.77,53.95,1.08,251
Central,Rajasthan,TLP12,2023-07,9,288,3.12,72.71,72.21,1.44,1
Pune Zone,Jharkhand,UKKGL,2023-11,265,476,55.67,66.53,50.18,1.0,203
South,Punjab,TLP12,2023-12,352,833,42.26,29.53,18.95,0.38,59
North,Unknown,LADEP,2023-02,216,489,44.17,90.83,83.78,1.68,62
West,Odisha,TL009,2023-01,227,258,87.98,55.09,50.24,1.0,162
Hyderabad,Rajasthan,TL009,2023-10,310,532,58.27,69.66,37.75,0.76,118
West,Jharkhand,LADEP,2023-10,244,469,52.03,19.0,15.89,0.32,191
Hyderabad,Haryana,UMGLP,2023-09,415,458,90.61,92.52,53.44,1.07,371
MMZO Zone,Odisha,LADEP,2023-01,63,302,20.86,11.45,8.39,0.17,8
Central,Delhi,CCGEN,2023-06,297,410,72.44,80.43,42.95,0.86,290
MMZO Zone,Rajasthan,CHOME,2023-02,441,782,56.39,96.34,78.87,1.58,303
West,Punjab,TLP12,2023-03,448,663,67.57,54.72,32.19,0.64,417
North,West Bengal,TL009,2023-02,500,762,65.62,99.97,89.4,1.79,321
West,West Bengal,CCSUV,2023-11,443,835,53.05,51.88,35.44,0.71,74
Pune Zone,Punjab,CCGEN,2023-02,456,783,58.24,66.02,59.85,1.2,239
West,Unknown,CHOME,2023-10,153,203,75.37,27.34,16.44,0.33,54
Pune Zone,Unknown,UMGLP,2023-05,265,328,80.79,14.14,13.14,0.26,68
Pune Zone,Odisha,CCSUV,2023-04,335,518,64.67,31.11,19.87,0.4,80
North,West Bengal,CCMUD,2023-05,394,889,44.32,93.79,49.04,0.98,1
West,Haryana,TLP12,2023-07,465,659,70.56,64.85,63.4,1.27,341
Central,Rajasthan,UKKGL,2023-06,170,501,33.93,2.87,2.13,0.04,162
West,Unknown,LADEP,2023-02,296,446,66.37,72.37,60.43,1.21,215
Hyderabad,Delhi,ODGEN,2023-08,234,725,32.28,8.3,5.45,0.11,161
Hyderabad,West Bengal,CCSUV,2023-05,267,637,41.92,65.69,42.93,0.86,47
MMZO Zone,Rajasthan,TLP12,2023-05,227,270,84.07,66.45,56.26,1.13,202
East,Rajasthan,CCGEN,2023-04,419,706,59.35,20.04,11.92,0.24,280
Pune Zone,Unknown,CCGEN,2023-02,178,404,44.06,56.01,34.76,0.7,166
Pune Zone,Jharkhand,VL001,2023-08,150,613,24.47,8.36,6.38,0.13,18
MMZO Zone,Jharkhand,ODGEN,2023-04,320,357,89.64,84.76,44.22,0.88,182
Central,Jharkhand,CCMUD,2023-10,253,417,60.67,13.26,7.58,0.15,98
North,Punjab,LADEP,2023-04,305,480,63.54,93.52,64.56,1.29,131
South,Odisha,UMGLP,2023-06,488,644,75.78,81.43,71.95,1.44,143
MMZO Zone,Punjab,LADEP,2023-09,246,301,81.73,62.87,44.91,0.9,229
Central,Odisha,UMGLP,2023-08,397,536,74.07,21.38,19.15,0.38,202
Hyderabad,Haryana,LADEP,2023-05,472,940,50.21,72.9,46.15,0.92,205
South,Bihar,LADEP,2023-05,99,402,24.63,23.06,21.07,0.42,90
Central,Punjab,VL001,2023-12,326,554,58.84,42.96,35.43,0.71,60
East,West Bengal,CCSUV,2023-10,107,277,38.63,54.97,32.76,0.66,90
East,West Bengal,UKKGL,2023-05,204,230,88.7,84.47,77.37,1.55,5
South,Haryana,LADEP,2023-11,242,283,85.51,69.98,45.96,0.92,76
West,Punjab,CCMUD,2023-02,113,126,89.68,81.71,75.0,1.5,11
Central,Rajasthan,TLP12,2023-01,221,248,89.11,14.2,7.92,0.16,56
Pune Zone,Bihar,CCSUV,2023-08,246,403,61.04,51.62,47.45,0.95,243
East,Unknown,CHOME,2023-12,393,805,48.82,17.16,13.9,0.28,274
West,Haryana,LADEP,2023-11,219,675,32.44,1.02,0.69,0.01,72
West,Delhi,TL009,2023-02,37,439,8.43,17.98,15.7,0.31,12
Pune Zone,Haryana,TL009,2023-12,131,290,45.17,64.87,34.51,0.69,54
MMZO Zone,West Bengal,UMGLP,2023-03,46,236,19.49,98.53,74.43,1.49,1
Pune Zone,Haryana,VL001,2023-08,496,714,69.47,81.61,73.24,1.46,200
Hyderabad,West Bengal,CCGEN,2023-07,56,533,10.51,29.92,19.03,0.38,11
East,Delhi,VL001,2023-05,127,356,35.67,7.56,7.16,0.14,126
West,Delhi,LADEP,2023-04,337,600,56.17,46.82,38.93,0.78,220
South,West Bengal,UMGLP,2023-08,8,403,1.99,58.27,34.49,0.69,3
Hyderabad,Rajasthan,CCSUV,2023-09,304,528,57.58,42.49,32.09,0.64,275
Pune Zone,Jharkhand,LADEP,2023-08,315,810,38.89,27.88,15.86,0.32,67
Pune Zone,Bihar,UMGLP,2023-05,98,551,17.79,69.07,61.12,1.22,0
Central,Punjab,TLP12,2023-01,117,517,22.63,69.2,38.72,0.77,102
North,Rajasthan,CCMUD,2023-06,413,489,84.46,95.99,80.64,1.61,134
Hyderabad,Delhi,UKKGL,2023-03,406,841,48.28,37.31,19.67,0.39,309
West,Haryana,CCSUV,2023-12,365,515,70.87,6.32,5.54,0.11,109
West,Bihar,CCGEN,2023-09,422,726,58.13,19.73,11.87,0.24,67
East,Odisha,CCSUV,2023-04,436,470,92.77,30.02,23.88,0.48,304
Hyderabad,Odisha,CHOME,2023-08,330,758,43.54,40.37,32.16,0.64,63
Central,Punjab,ODGEN,2023-12,317,788,40.23,75.51,67.17,1.34,215
South,Punjab,CCGEN,2023-05,315,793,39.72,38.59,26.17,0.52,249
Central,Punjab,CCMUD,2023-08,137,470,29.15,73.03,38.13,0.76,20
East,Haryana,CCMUD,2023-09,24,286,8.39,34.4,28.86,0.58,0
Hyderabad,Bihar,TL009,2023-05,83,430,19.3,33.3,25.71,0.51,54
West,Rajasthan,LADEP,2023-09,29,228,12.72,83.05,62.77,1.26,19
Central,Odisha,CHOME,2023-01,43,282,15.25,8.25,6.0,0.12,41
East,Punjab,CCMUD,2023-05,149,413,36.08,24.44,21.91,0.44,54
Pune Zone,Haryana,ODGEN,2023-03,427,891,47.92,7.29,5.51,0.11,298
Central,Delhi,CHOME,2023-09,92,176,52.27,83.11,67.09,1.34,84
North,Odisha,CHOME,2023-08,286,487,58.73,45.58,45.2,0.9,239
Pune Zone,Odisha,CCSUV,2023-04,17,497,3.42,17.22,16.4,0.33,11
